AuthorID,Author,Date,Content,Attachments,Reactions
"143127754760650752","Psycheout | Axie Infinity Core#0001","01-Oct-21 01:56 PM","https://stake.axieinfinity.com/ now shows the estimated APR (Annual Percentage Rate) that you get when you stake your AXS. 

This is a dynamic number meaning that it will go up if less people stake AXS and down if more people stake their AXS.

Rewards will go live in around 60 minutes =  `block number 7166473 (Fri Oct 01 2021 14:00:00 GMT+0700 (Indochina Time))`","","partykirby (1),partyparrot (1),party_blob (1),party_kirby (1),party_parrot (1),unicornpartyblob (1),partyblob (1),sadpartyblob (1),BongoAxie2 (1),AxieLove (1),🇻🇪 (1),Ronin (1),AXS (1),AXSgif (1),Fire5_Orange (1),👍 (1),celebrate (1),🇪 (1),🇹 (1),🥳 (1)"
"143127754760650752","Psycheout | Axie Infinity Core#0001","01-Oct-21 03:01 PM","@everyone 

**__Staking Rewards Live__**

Staking rewards are now live!

You can claim and re-stake rewards once per 24 hours!

Learn more about staking here <https://axie-infinity.gitbook.io/axs-staking-guide/> and stake your $AXS here <https://stake.axieinfinity.com/>","https://cdn.discordapp.com/attachments/414758518101639188/893392157111644180/unknown.png","AXSSpin (1),333_love (1),partykirby (1),Fire4_Purple (1),party_blob (1),🇪 (1),Fire1_White (1),🇨 (1),HaroldCringe (1),333_thug (1),AxieLove (1),AxieInfinityShard (1),👍 (1),😆 (1),🚀 (1)"
"404425549704986644","ProgrammaticallyPull#1713","03-Oct-21 11:20 PM","__ **Axie Infinity Developer Chat**__
@everyone 

Announcing our next Axie Infinity Developer Chat to answer some of your most pressing questions!

• Monday, October 4th (tomorrow) at 5am PST / 8am EST / 14.00 CEST / 8pm PH
• Speakers will be @Psycheout | Axie Infinity Core @Jihoz  | Axie Infinity 👀👾🌊 @Zyori👗🌸🎀 
• Catch it live on http://twitch.tv/AxieInfinity

https://twitter.com/AxieInfinity/status/1443209772313059328","","CH_KannaLove (1),🇵🇭 (1),333_giggle (1),💯 (1),BongoAxie2 (1),HuTaoHappy (1),BongoAxie (1),AxieLove (1),👍 (1),celebrate (1),CH_IconTickVerified (1),Poggers (1),CH_ImportantBlue (1),poggies (1),pogtasty (1),Poggies (1),AxieYes (1),POGSLIDE (1),Pog (1),333_love (1)"
"386948687525576704","Jihoz  | Axie Infinity 👀👾🌊#5202","04-Oct-21 08:02 PM","@Lunacian 

We're live!

<https://www.twitch.tv/axieinfinity>","https://cdn.discordapp.com/attachments/414758518101639188/894555059113852958/FAdNWb4X0AEDJNg.jpeg","333_love (1),🇵🇭 (1),🇺🇾 (1),AxieHard (1),AxieYes (1),Fire5_Orange (1),👍 (1),🇵 (1),BongoAxie2 (1),BongoAxie (1),🇭 (1),🇨🇳 (1),SLPbounce (1),🇯🇵 (1),AXSgif (1),🇷🇸 (1),AxieLove (1),🇰🇷 (1),🇮🇳 (1)"
"386948687525576704","Jihoz  | Axie Infinity 👀👾🌊#5202","04-Oct-21 09:25 PM","__** AXS/SLP Card Purchases on Ronin**__

@Lunacian 

You can now buy :AxieInfinityShard: AXS +:SLPbounce: SLP directly on Ronin using card!

Please note that some countries do not have this feature enabled yet.

Purchase: https://purchase.roninchain.com/","","333_giggle (1),🇵🇭 (1),👀 (1),🥳 (1),🇳🇵 (1),🌕 (1),🇪 (1),🇹 (1),🇭 (1),Fire5_Orange (1),Fire4_Purple (1),Fire1_White (1),Fire2_Teal (1),Fire3_Blue (1),333_love (1),🇰🇷 (1),420_musk (1),🇮🇳 (1)"
"143127754760650752","Psycheout | Axie Infinity Core#0001","05-Oct-21 06:01 PM","__**Sky Mavis Series B**__
@everyone

We’ve raised a $152 M Series B funding round for Sky Mavis, the creators of Axie Infinity! 

• The funds will fuel the growth and development of Axie Infinity and Ronin, our scaling solution for digital nations. 
• We’re hiring missionaries to join our movement and help bring blockchain to everyone. 

Full announcement: https://axie.substack.com/p/seriesb","","333_thug (1),AxieInfinityShard (1),pepeHype (1),LeekSpin (1),🇵🇭 (1),AXSgif (1),🇰🇷 (1),BakuSmug (1),Fire1_White (1),Fire4_Purple (1),Fire3_Blue (1),Fire2_Teal (1),♥️ (1),🤍 (1),AxieHard (1),333_love (1),SmallLovePotion (1)"
"386948687525576704","Jihoz  | Axie Infinity 👀👾🌊#5202","06-Oct-21 08:07 AM","@Lunacian 

I'm joining Axie Chat today! Live now :BongoAxie2: 

https://www.twitch.tv/baronar","","🇱 (1),🇵 (1),SLPbounce (1),🅰️ (1),❌ (1),axie_portrait (1),AXSgif (1),💰 (1),AxieYes (1),LeekSpin (1),axie_egg (1),Team_Jihoz (1),🇰🇷 (1)"
"386948687525576704","Jihoz  | Axie Infinity 👀👾🌊#5202","12-Oct-21 08:47 AM","__**October Development Update**__

@everyone 

Our October Development Update is live!

**Key Points**
• The launch of AXS staking was a massive success. Over 25% of the circulating AXS supply is now staked.
• We announced Sky Mavis’s 152 $ M Series B fundraise!
• We continue to make great progress on Battles V2, The Ronin Dex, and Land.

Read it: https://axie.substack.com/p/october","","🇪 (1),Fire5_Orange (1),🇹 (1),333_thug (1),This (1),Axie_Eye_Skyleft (1),AxieLove (1),🇵🇭 (1),333_love (1),AxieYes (1),🇳 (1),🇧🇷 (1),AxieInfinityShard (1),🇳🇵 (1),😫 (1),👍 (1)"
"275684671122309120","Sensei Odin#0413","13-Oct-21 08:07 AM","@here

Its AxieChat time!!!
Get your weekly round up of all the goings on in and around Lunacia

Today's two special guests: @RCTech | Breedmania and @Ax-SCB 

:BongoAxie2: https://twitch.tv/baronar :BongoAxie:

*Please be aware this is a community stream and* **not** *an offical Dev stream, this stream will not contain information on existing technical problems*","","poggies (1),POGSLIDE (1),Poggies (1),333_love (1),Poggers (1),POGGERS (1),Poggers (1),Poggers (1),POGGIES (1),pogchamp (1),pogchamp (1),Pog (1),🇪 (1),Pog (1),Pogey (1),PogWOW (1),🇰🇷 (1),150831 (1),🇵🇭 (1),LeekSpin (1)"
"404425549704986644","ProgrammaticallyPull#1713","15-Oct-21 12:45 PM","__**Axie Infinity Version 1.1.0a Update**__

@Lunacian

We are releasing a new version of the game today, including improvements to the game’s performance and the return of challenging your friends.

• **Axies will now reset to level one anytime they change owners.** This was the change I mentioned last week that was coming.
• Challenges are back! You can now challenge a trainer on your friends list to a friendly duel.
• Accounts under 800 MMR will no longer receive SLP from adventure, arena, or the daily quest.
• Temporarily, match history will not be saved on our servers and can only be accessed from the client device with which you played the match.
• We have made a small update to the Ronin Block Explorer for how some addresses are displayed. 


Once the maintenance period is complete you can update to the latest version, please see the instructions for your specific platform below:

**Desktop with Mavis Hub**: Open Mavis Hub and select the update button.
**Android**: See #🌱｜official-links for the Android link.
**iOS**: Please open the Testflight app and refresh the list of apps to see the update.","","👀 (1),🇪 (1),BongoAxie2 (1),🇹 (1),🇨 (1),BongoAxie (1),🇺 (1),🇱 (1),AxieInfinityShard (1),SmallLovePotion (1),✝️ (1),poggies (1),🇮🇩 (1),Chonker (1),ThinkThink (1),This (1),Fire5_Orange (1),🇵🇭 (1),🐒 (1),👎 (1)"
"143127754760650752","Psycheout | Axie Infinity Core#0001","15-Oct-21 06:25 PM","@here 

We are delaying the release of the **gameplay patch** (MMR, match history, daily quest, challenges) for a few days while we sort out some issues discovered during deployment. 

The **""Axie level reset patch""** is still live. Meaning that whenever you send an Axie to a new account its level will be reset to 1. 

Once the gameplay patch is live we will announce it on all social channels.","","👀 (1),🇪 (1),BongoAxie (1),AxieLove (1),🇹 (1),333_love (1),BongoAxie2 (1),axie_b2Unko (1),This (1),🇭 (1),Fire1_White (1),Fire4_Purple (1),Fire2_Teal (1),333_cry (1),Fire3_Blue (1),Axie_Eye (1),Fire5_Orange (1),Axie_Eye_Left (1),axiesweat (1),🇵🇭 (1)"
"404425549704986644","ProgrammaticallyPull#1713","19-Oct-21 12:21 PM","__**Axie Infinity Version 1.1.0a Update Second Deployment**__

@Lunacian

We are releasing a new version of the game today, including improvements to the game’s performance and the return of challenging your friends.

• Axies will reset to level one anytime they change owners. This change has been live since the first announcement. 
• Challenges are back! You can now challenge a trainer on your friends list to a friendly duel.
• Accounts under 800 MMR will no longer receive SLP from the adventure, arena, or the daily quest. Please see below for more information on this.
• Match history will not be saved on the servers, we will bring this feature back once we have had a chance to optimize it. 


To update to the latest version, please see the instructions for your specific platform below:

**Desktop with Mavis Hub**: Open Mavis Hub and select the update button.
**Android**: See #🌱｜official-links for the Android link.
**iOS**: Please open the Testflight app and refresh the list of apps to see the update. Currently, the beta is full and no one new can join right now. 

**More Information About the 800 MMR Update**

We’ve received a considerable amount of questions, feedback, and concerns regarding our gameplay adjustments in the 1.1.0a release, in particular the 800 MMR restriction.  We thought we’d share some details on what motivated this experiment.  

What are the elements that we believe create a healthy Axie gaming ecosystem?  First and foremost, we believe that our game experiences should be designed so that community members are motivated to build gradual mastery over time.  We also believe that each community member has a role to play in ensuring everyone’s gameplay success (through education, coaching, sharing feedback, etc).  Finally, the game and its underlying economy must be sound.  We strongly believe that any method where the game is manipulated to gain financial benefit without having to build skill threatens the entire ecosystem. 

A review of today’s player data reveals that we have some work to do balancing the gameplay experience. In particular, we have evidence of “bots”, gaming accounts that are scripted to play without a real player, alongside other examples of odd in-game behavior. Today’s MMR restriction was implemented to eliminate poor in-game behavior. __To be clear, our ultimate goal is to reward mastery of the game and everyone’s honest attempts to become a great player__.  As with all experiments, we’ll likely both resolve issues, and perhaps even create new ones.

We believe in you: each and every human in our community has the ability to improve and become proficient in the arena. This change was made with this confidence in mind. That said, we intend to collect considerable data around this tweak: both within the game, and from our community forums (Discord, social media, etc).","","This (1),333_love (1),AxieHard (1),👍 (1),🇵🇭 (1),celebrate (1),BongoAxie (1),Walnut (1),333_laugh (1),Ⓜ️ (1),🇲 (1),🇷 (1),👎 (1),💩 (1),😭 (1),axie_b2Unko (1),AxieLove (1),Sticker_Kotaro (1)"
"98741389331816448","Vantalim#8517","20-Oct-21 12:26 AM","__**Axie Infinity Version 1.1.0a Update Delayed**__ 

@Lunacian 

Due to issues that were discovered during the patch, we have made the decision to roll back the game to the previous version. After several hours of intense troubleshooting, we have concluded that this is a performance issue that cannot be fixed in a short period of time. We will make a new announcement before trying again.

This means that it is still version **1.0.0ac** that is live and supported. If you have updated your game today, please follow these steps to revert to the old version:

Android:
1. Delete the newest version
2. Download and install the file from #🌱｜official-links 

iOS:
On testflight , click on 'Previous Builds' > 1.0.0 > Version 1.0.0ac and Install.

Windows and Mac:
1. Close your game AND Mavis Hub.
2. Follow the steps in this guide to delete your old game folder.
https://support.axieinfinity.com/hc/en-us/articles/4408612168987-Deleting-the-Mavis-Hub-folder
3. Download and install the file from #🌱｜official-links","","🇪 (1),🇹 (1),AxieYes (1),🇨 (1),HaroldCringe (1),👍 (1),🇷 (1),🇺 (1),BongoAxie2 (1),🇵🇭 (1),🇱 (1),🇴 (1),BongoAxie (1),🇳 (1),This (1),This (1),🇼 (1),axielove (1),❤️ (1),150831 (1)"
"275684671122309120","Sensei Odin#0413","20-Oct-21 08:08 AM","@here

Its AxieChat time!!!
Get your weekly round up of all the goings on in and around Lunacia

:BongoAxie2: https://twitch.tv/baronar :BongoAxie:

*Please be aware this is a community stream and* **not** *an offical Dev stream, this stream will not contain information on existing technical problems*","","❤️ (1),🇪 (1),Fire5_Orange (1),BongoAxie2 (1),🇹 (1),🇨 (1),dance3 (1),🇰🇷 (1),🇺 (1),🇱 (1),🇮🇩 (1),dance2 (1),✝️ (1),axiewut (1),happy (1),yoshi (1),🇷 (1),🇴 (1),🇳 (1),poggies (1)"
